이름,종류,이미지,완료 날짜,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",추가 이미지1,추가 이미지2,그 외 세부 특징,추가 이미지3,추가 이미지4,,,,,,,,,,,,,
망고,개,망고.jpg,2023. 11. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
분이,개,분이.jpg,2023. 11. 27,2023. 11. 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
테오,개,테오.jpg,2024. 1. 2,2023. 11. 7,,,,,,"경기도","수원시시",,,,,,,,,,,,,,,,,,,,,,,
우뚱이,개,우뚱이.jpg,2024.01.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
방울이,개,방울이.jpg,2024. 1. 9,2024. 1. 2,,,,,,"서울","서울시 관악구",,,,,,,,,,,,,,,,,,,,,,,
동백이,개,동백이.jpg,2024. 1. 17,2024. 1. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
커피,개,커피.jpg,2024. 1. 18,2024. 1. 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
루시,개,루시.jpg,2024. 1. 18,2024. 1. 17,,,,,,"경기도","과천시",,,,,,,,,,,,,,,,,,,,,,,
리브,개,리브.jpg,2024. 1. 20,2024. 1. 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
또치,개,또치.jpg,2024. 2. 3,2023. 8. 21,,,,,,"경기도","수원시",,,,,,,,,,,,,,,,,,,,,,,
살구,개,살구.jpg,2024. 2. 10,2024. 2. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
다동이,개,다동이.jpg,2024. 2. 17,2024. 2. 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레아,개,레아.jpg,2024. 2. 25,2024. 2. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가을이,개,가을이.jpg,2024. 2. 25,2023. 8. 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
길용이,개,길용이.jpg,2024. 3. 9,2023. 9. 29,수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진우,개,진우.jpg,2024. 3. 9,2023. 2. 20,수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
세바,개,세바.jpg,2024. 3. 29,2024. 3. 10,수,,,,,"경기도","용인시",,,,,,,,,,,,,,,,,,,,,,,
후추,개,후추.jpg,2024. 4. 2,2024. 3. 24,,,,,,,"대전시 도전동",,,,,,,,,,,,,,,,,,,,,,,
똘미니,개,똘미니.jpg,2024. 4. 9,2024. 4. 8,,,,,,,"서울시 관악구",,,,,,,,,,,,,,,,,,,,,,,
루키,개,루키.jpg,2024. 4. 14,2024. 4. 6,수,,,,,,"대구시 남구",,,,,,,,,,,,,,,,,,,,,,,
산적이,개,산적이.jpg,2024. 4. 24,2024. 4. 21,수,,,,,,"인천시 미추홀구",,,,,,,,,,,,,,,,,,,,,,,
덕선이,개,덕선이.jpg,2024. 4. 29,2024. 4. 28,암,,,,,"경기도","오산시",,,,,,,,,,,,,,,,,,,,,,,
럭키,개,럭키.jpg,2024. 4. 30,2024. 4. 27,암,,,,,"경기도","안양시",,,,,,,,,,,,,,,,,,,,,,,
코코,개,코코.jpg,2024. 4. 30,2024. 4. 29,암,,,,,"경기도","안양시",,,,,,,,,,,,,,,,,,,,,,,
제티,개,제티.jpg,2024.05.04,2024.04.26,수,,,,,"경기도","성남시",,,,,,,,,,,,,,,,,,,,,,,
꽃비,개,꽃비.jpg,2024.05.09,2024.05.05,암,,,,,"강원도",,,,,,,,,,,,,,,,,,,,,,,,
황구,개,황구.jpg,2024.05.16,2024.05.08,수,,,,,"경기도","남양주시",,,,,,,,,,,,,,,,,,,,,,,
