이름,이미지,URL,유실 날짜,성별,견종/묘종,색상,몸무게,도,"시, 군, 구","동, 읍, 면",세부 주소,마지막 제보 지역,중성화,인식칩,"하네스, 목줄, 옷",전신 사진,얼굴 사진,그 외 세부 특징,,,,,,,,,,,,,,
캘리,캘리.jpg,https://open.kakao.com/o/gKpxB6ig,2024.03.24,수,진도,흰색,15kg,서울/경기/인천,"서울시 강남구","역삼동",도성초등학교,,X,내장칩,,,,콧등 까짐,,,,,,,,,,,,,,
"장군
&
장순",장군_장순.png,,2024.03.29,기타,진도,흰색,20kg,서울/경기/인천,"고양시 일산동구","성석동",성석능이백숙,,,,,,,"귀 접힘(장군)
귀 펴짐(장순)",,,,,,,,,,,,,,
이다,이다.jpg,,2024.04.01,암,믹스,"흰색
갈색",10kg,서울/경기/인천,"양주시","남방동",,"[추정] 의정부시 녹양역
[추정] 양주시 삼숭동",X,없음,,,,"쫑긋 귀
말린 꼬리, 털 풍성
좌우 얼굴 무늬 다름
입주변 흰색+검은점
억울한 눈 + 위에 검정선",,,,,,,,,,,,,,
까미,까미.jpg,,2024.04.21,암,라이카,"검은색
흰색",25kg,강원,"횡성군","횡성읍",마산5길,,,,,,,"세모귀
갈색눈
말린 꼬리 끝 흰색",,,,,,,,,,,,,,
초롱이,초롱이.png,https://open.kakao.com/o/giMuzHlg,2024.04.25,수,믹스,흰색,6kg,서울/경기/인천,"평택시","평택동",평택역,"[확실] 코브리독스(평택세교점)
오후 4시 (24.6.03)",,없음,"파란색 철물점 목줄",,,"부정교합
눈물자국
쫑긋 귀",,,,,,,,,,,,,,
베라,베라.jpg,https://open.kakao.com/o/gmIzHIpg,2024.04.27,암,믹스,"흰색
노란색
",7kg,서울/경기/인천,"서울시 강남구","개포동",래미안,"[확실] 개포동 강남동산교회
(24.4.30.)
[추정] 양재천 영동2교
(24.5.30.)",,,,,,"등줄기 누런색
쫑긋 세모귀",,,,,,,,,,,,,,
미미 (비글),미미_비글.jpg,https://open.kakao.com/o/gMMd1Dpg,2024.05.02,암,비글믹스,"흰색
갈색",14kg,서울/경기/인천,"의정부시","민락동",민락엘레트,,,없음,,,,"이마 앞 가르마
배에 혹",,,,,,,,,,,,,,
만평이,만평이.jpg,,2024.05.05,암,푸들,갈색,3kg,서울/경기/인천,"포천시","이동면 도평리",밤나무집 캠핑장,,,,"하늘색 체크무늬 옷",,,혀 내밀고있음,,,,,,,,,,,,,,
달콩이,달콩이.jpg,,2024.05.12,수,요크셔테리어,"은색
갈색",4kg,서울/경기/인천,"화성시","향남읍",발안우림아파트,,O,내장칩,,,,"몸매 통통함
큰 귀 부채모양
귀 털, 위치 따라 달라짐",,,,,,,,,,,,,,
일몽이,일몽이.jpg,https://open.kakao.com/o/gheKK9tg,2024.05.15,암,믹스,"검정
흰색",8kg,서울/경기/인천,"광주시","매산동",644-1 공장단지,,X,없음,"파란색 목줄",,,"귀 접힘
가슴 흰털
앞뒷발 흰색",,,,,,,,,,,,,,
